Date,Day_of_Week,Matchup,TV_Network,Start_Time,End_Time,Top_25,Gender,Visitor_Conference,Home_Conference
"Thu, Sep 24",Thursday,Lindenwood at Merrimack,ESPN+,4:00 PM,6:30 PM,N,W,AHA,Hockey East
"Thu, Sep 24",Thursday,#2 Ohio State at #4 Penn State,B1G+,5:00 PM,7:30 PM,Y,W,WCHA,AHA
"Fri, Sep 25",Friday,RPI at #14 Minnesota State,B1G+,11:00 AM,1:30 PM,Y,W,ECAC,WCHA
"Fri, Sep 25",Friday,Lindenwood at Merrimack,ESPN+,1:00 PM,3:30 PM,N,W,AHA,Hockey East
"Fri, Sep 25",Friday,Union at Franklin Pierce,FloCollege,1:00 PM,3:30 PM,N,W,ECAC,NEWHA
"Fri, Sep 25",Friday,New Hampshire at St. Thomas,B1G+,2:00 PM,4:30 PM,N,W,Hockey East,WCHA
"Fri, Sep 25",Friday,#2 Ohio State at #4 Penn State,B1G+,3:00 PM,5:30 PM,Y,W,WCHA,AHA
"Fri, Sep 25",Friday,Stonehill at Syracuse,FloHockey.tv,5:00 PM,7:30 PM,N,W,NEWHA,AHA
"Fri, Sep 25",Friday,RIT at #12 Clarkson,ESPN+,5:00 PM,7:30 PM,Y,W,AHA,ECAC
"Fri, Sep 25",Friday,#1 Wisconsin at St. Lawrence,ESPN+,5:00 PM,7:30 PM,Y,W,WCHA,ECAC
"Fri, Sep 25",Friday,Delaware at Holy Cross,ESPN+,5:00 PM,7:30 PM,N,W,AHA,Hockey East
"Fri, Sep 25",Friday,#6 Quinnipiac at Maine,ESPN+,5:00 PM,7:30 PM,Y,W,ECAC,Hockey East
"Fri, Sep 25",Friday,Providence at Sacred Heart,ESPN+,5:00 PM,7:30 PM,N,W,Hockey East,NEWHA
"Fri, Sep 25",Friday,Post at Robert Morris,FloHockey.tv,6:00 PM,8:30 PM,N,W,NEWHA,AHA
"Fri, Sep 25",Friday,#15 Mercyhurst at #9 Minnesota Duluth,B1G+,6:00 PM,8:30 PM,Y,W,AHA,WCHA
"Fri, Sep 25",Friday,#7 UConn at St. Cloud State,B1G+,7:00 PM,9:30 PM,Y,W,Hockey East,WCHA
"Fri, Oct 02",Friday,Manitoba at #18 Minnesota State,Midco Sports,11:30 AM,2:00 PM,Y,M,,CCHA
"Fri, Oct 02",Friday,#12 Boston College at #3 Michigan State,B1G+,4:00 PM,6:30 PM,Y,M,Hockey East,Big Ten
"Fri, Oct 02",Friday,RPI at Army,ESPN+,5:00 PM,7:30 PM,N,M,ECAC,AHA
"Fri, Oct 02",Friday,Colgate at Union,ESPN+,5:00 PM,7:30 PM,N,M,ECAC,ECAC
"Fri, Oct 02",Friday,Maryville at St. Lawrence,ESPN+,5:00 PM,7:30 PM,N,M,Independents,ECAC
"Fri, Oct 02",Friday,Miami (Ohio) at Northern Michigan,Midco Sports,5:37 PM,8:07 PM,N,M,NCHC,CCHA
"Fri, Oct 02",Friday,Bowling Green at #2 Michigan,B1G+,6:00 PM,8:30 PM,Y,M,CCHA,Big Ten
"Fri, Oct 02",Friday,RIT at Niagara,[NoLivestream],6:00 PM,8:30 PM,N,M,AHA,AHA
"Fri, Oct 02",Friday,Maine at Holy Cross,ESPN+,6:00 PM,8:30 PM,N,M,Hockey East,AHA
"Fri, Oct 02",Friday,New Hampshire at #7 Quinnipiac,ESPN+,6:00 PM,8:30 PM,Y,M,Hockey East,ECAC
"Fri, Oct 02",Friday,Stonehill at #9 Providence,ESPN+,6:00 PM,8:30 PM,Y,M,Independents,Hockey East
"Fri, Oct 02",Friday,Ferris State at Canisius,[NoLivestream],6:07 PM,8:37 PM,N,M,CCHA,AHA
"Fri, Oct 02",Friday,#14 Minnesota at #19 Michigan Tech,Midco Sports,6:07 PM,8:37 PM,Y,M,Big Ten,CCHA
"Fri, Oct 02",Friday,Arizona State at Lindenwood,[NoLivestream],7:00 PM,9:30 PM,N,M,NCHC,Independents
"Fri, Oct 02",Friday,LIU at #5 Minnesota Duluth,NCHC.tv,7:07 PM,9:37 PM,Y,M,Independents,NCHC
"Fri, Oct 02",Friday,Robert Morris at #6 Wisconsin,B1G+,8:00 PM,10:30 PM,Y,M,AHA,Big Ten
"Fri, Oct 02",Friday,#10 UMass at Colorado College,NCHC.tv,8:00 PM,10:30 PM,Y,M,Hockey East,NCHC
"Fri, Oct 02",Friday,#1 Denver at Alaska-Anchorage,YouTube,10:00 PM,12:30 AM,Y,M,NCHC,Independents
"Fri, Oct 02",Friday,#16 Boston University at Alaska,FloHockey.tv,10:07 PM,12:37 AM,Y,M,Hockey East,Independents
"Sat, Oct 03",Saturday,#20 Merrimack at #7 Quinnipiac,ESPN+,3:00 PM,5:30 PM,Y,M,Hockey East,ECAC
"Sat, Oct 03",Saturday,Union at Army,[NoLivestream],3:00 PM,5:30 PM,N,M,ECAC,AHA
"Sat, Oct 03",Saturday,Ottawa at Clarkson,ESPN+,3:00 PM,5:30 PM,N,M,,ECAC
"Sat, Oct 03",Saturday,Maryville at St. Lawrence,ESPN+,4:00 PM,6:30 PM,N,M,Independents,ECAC
"Sat, Oct 03",Saturday,Niagara at RIT,[NoLivestream],4:05 PM,6:35 PM,N,M,AHA,AHA
"Sat, Oct 03",Saturday,Ferris State at Canisius,[NoLivestream],4:07 PM,6:37 PM,N,M,CCHA,AHA
"Sat, Oct 03",Saturday,Arizona State at Lindenwood,[NoLivestream],5:00 PM,7:30 PM,N,M,NCHC,Independents
"Sat, Oct 03",Saturday,Western Ontario at #8 Western Michigan,NCHC.tv,5:00 PM,7:30 PM,Y,M,,NCHC
"Sat, Oct 03",Saturday,#12 Boston College at US NTDP,USAHockeyTV.com,5:00 PM,7:30 PM,Y,M,Hockey East,
"Sat, Oct 03",Saturday,Miami (Ohio) at Northern Michigan,Midco Sports,5:07 PM,7:37 PM,N,M,NCHC,CCHA
"Sat, Oct 03",Saturday,#2 Michigan at Bowling Green,Midco Sports,5:07 PM,7:37 PM,Y,M,Big Ten,CCHA
"Sat, Oct 03",Saturday,#14 Minnesota at #19 Michigan Tech,Midco Sports,5:07 PM,7:37 PM,Y,M,Big Ten,CCHA
"Sat, Oct 03",Saturday,Maine at Holy Cross,ESPN+,6:00 PM,8:30 PM,N,M,Hockey East,AHA
"Sat, Oct 03",Saturday,LIU at #5 Minnesota Duluth,NCHC.tv,6:07 PM,8:37 PM,Y,M,Independents,NCHC
"Sat, Oct 03",Saturday,St. Cloud State at Bemidji State,Midco Sports,6:07 PM,8:37 PM,N,M,NCHC,CCHA
